Borough,Hourly pay
Barking and Dagenham,14.34
Barnet,16.82
Bexley,16.76
Brent,15.03
Bromley,18.48
Camden,19.64
Croydon,16.88
Ealing,15.91
Enfield,14.54
Greenwich,17.03
Hackney,16.21
Hammersmith and Fulham,20.24
Haringey,16.10
Harrow,16.84
Havering,16.92
Hillingdon,16.42
Hounslow,15.06
Islington,19.64
Kensington and Chelsea,22.63
Kingston upon Thames,18.66
Lambeth,18.31
Lewisham,16.55
Merton,16.16
Newham,15.63
Redbridge,16.25
Richmond upon Thames,19.36
Southwark,18.14
Sutton,16.77
Tower Hamlets,19.41
Waltham Forest,17.46
Wandsworth,20.72
Westminster,21.62
