Borough,Unemployment rate
Waltham Forest,6.30
Brent,5.80
Enfield,5.80
Redbridge,5.60
Barnet,5.40
Ealing,5.40
Newham,5.20
Greenwich,5.20
Haringey,5.10
Hounslow,5
Harrow,5
Hillingdon,4.80
Southwark,4.80
Croydon,4.80
Tower Hamlets,4.60
Barking and Dagenham,4.60
Hackney,4.60
Lewisham,4.50
Camden,4.10
Westminster,4
Lambeth,3.80
Hammersmith and Fulham,3.70
Sutton,3.60
Kensington and Chelsea,3.60
Merton,3.50
Havering,3.40
Islington,3.40
Richmond upon Thames,3.40
Bexley,3.30
Kingston upon Thames,3.20
Wandsworth,3
Bromley,2.90
