Borough,% of working age population with GCSE qualifications or less
Barking and Dagenham,34.2
Barnet,20.5
Bexley,34.3
Brent,23.3
Bromley,24.9
Camden,17.8
Croydon,26.8
Ealing,17.7
Enfield,23.2
Greenwich,20.7
Hackney,16.4
Hammersmith and Fulham,11.3
Haringey,18.9
Harrow,21.8
Havering,32.9
Hillingdon,24.9
Hounslow,21.3
Islington,16.7
Kensington and Chelsea,16.5
Kingston upon Thames,18.2
Lambeth,10.1
Lewisham,21.3
Merton,18.1
Newham,21.1
Redbridge,23.3
Richmond upon Thames,15.2
Southwark,23.9
Sutton,22.3
Tower Hamlets,24.7
Waltham Forest,21.3
Wandsworth,12.8
Westminster,14.3
